text,intent
mappa la casa,START_MAPPING
inizia a mappare,START_MAPPING
esplora l'appartamento,START_MAPPING
fai una mappa delle stanze,START_MAPPING
scansiona la casa,START_MAPPING
avvia la mappatura,START_MAPPING
comincia esplorazione,START_MAPPING
crea la mappa dell'ambiente,START_MAPPING
costruisci la mappa,START_MAPPING
parti con la mappa,START_MAPPING
pulisci la cucina,CLEAN_AREA
aspira il bagno,CLEAN_AREA
lava il soggiorno,CLEAN_AREA
pulisci camera e ingresso,CLEAN_AREA
inizia a pulire il ripostiglio,CLEAN_AREA
passa lo sporco in cucina,CLEAN_AREA
fai pulizia nel salone,CLEAN_AREA
pulisci la cucina evitando il bagno,CLEAN_AREA
pulisci il soggiorno passando dal corridoio,CLEAN_AREA
puliscimi la camera,CLEAN_AREA
spolvera la cucina,CLEAN_AREA
dai una passata al bagno,CLEAN_AREA
fai una pulita al soggiorno,CLEAN_AREA
ripulisci la camera,CLEAN_AREA
sistema l'ingresso,CLEAN_AREA
vai in cucina,GO_TO_AREA
raggiungi il bagno,GO_TO_AREA
portati in soggiorno,GO_TO_AREA
spostati in camera,GO_TO_AREA
vai all'ingresso,GO_TO_AREA
raggiungi il ripostiglio passando dal salone,GO_TO_AREA
vai in cucina evitando il bagno,GO_TO_AREA
muoviti verso il corridoio,GO_TO_AREA
vai nel salone,GO_TO_AREA
raggiungi la camera attraversando il corridoio,GO_TO_AREA
torna alla base,RETURN_HOME
ritorna alla base,RETURN_HOME
vai alla stazione di ricarica,RETURN_HOME
torna a casa,RETURN_HOME
rientra alla base,RETURN_HOME
raggiungi la dock,RETURN_HOME
vai al punto di partenza,RETURN_HOME
rientra alla stazione,RETURN_HOME
torna al caricatore,RETURN_HOME
rientra alla base di ricarica,RETURN_HOME
cosa stai facendo,STATUS_REQUEST
a che punto sei,STATUS_REQUEST
qual è lo stato,STATUS_REQUEST
dimmi lo stato del robot,STATUS_REQUEST
sei fermo o stai lavorando,STATUS_REQUEST
quanto manca,STATUS_REQUEST
stai pulendo,STATUS_REQUEST
la missione è attiva,STATUS_REQUEST
come procede,STATUS_REQUEST
dammi un aggiornamento,STATUS_REQUEST
aiuto,HELP_REQUEST
help,HELP_REQUEST
cosa posso dire,HELP_REQUEST
quali comandi capisci,HELP_REQUEST
mostrami i comandi,HELP_REQUEST
come ti posso comandare,HELP_REQUEST
dammi una mano,HELP_REQUEST
spiegami cosa sai fare,HELP_REQUEST
che comandi posso usare,HELP_REQUEST
mi serve aiuto,HELP_REQUEST
sì,CONFIRM
si,CONFIRM
ok,CONFIRM
va bene,CONFIRM
confermo,CONFIRM
procedi,CONFIRM
esatto,CONFIRM
corretto,CONFIRM
fallo,CONFIRM
conferma,CONFIRM
no,DENY
non confermo,DENY
annulla,DENY
lascia stare,DENY
non farlo,DENY
negativo,DENY
sbagliato,DENY
ferma la richiesta,DENY
non va bene,DENY
rifiuto,DENY
blabla senza senso,UNKNOWN
banana sul tavolo,UNKNOWN
non so cosa voglio,UNKNOWN
questa frase non è un comando,UNKNOWN
parole casuali robot cielo,UNKNOWN
domani forse vediamo,UNKNOWN
il gatto dorme sul divano,UNKNOWN
quanto costa il pane,UNKNOWN
raccontami una storia,UNKNOWN
che tempo fa oggi,UNKNOWN
spolvera il bagno,CLEAN_AREA
spolvera il soggiorno,CLEAN_AREA
spolvera la camera,CLEAN_AREA
sistema la cucina,CLEAN_AREA
sistema il soggiorno,CLEAN_AREA
sistema il bagno,CLEAN_AREA
dai una passata in cucina,CLEAN_AREA
dai una passata in bagno,CLEAN_AREA
fai una passata in soggiorno,CLEAN_AREA
fai una pulita in camera,CLEAN_AREA
ripulisci il bagno,CLEAN_AREA
ripulisci cucina e soggiorno,CLEAN_AREA
dai una sistemata alla cucina,CLEAN_AREA
dai una sistemata al salone,CLEAN_AREA
passa in bagno,CLEAN_AREA
passa in cucina,CLEAN_AREA
pulisci bene il soggiorno,CLEAN_AREA
spolvera la cucina evitando il bagno,CLEAN_AREA
sistema il soggiorno ma evita il bagno,CLEAN_AREA
dai una passata in cucina ma non andare in salone,CLEAN_AREA
fai una pulita in bagno evitando la cucina,CLEAN_AREA
ripulisci la camera senza passare dal soggiorno,CLEAN_AREA
fai una passata in bagno,CLEAN_AREA
dai una pulita alla cucina,CLEAN_AREA
sistema bene il salone,CLEAN_AREA
spolvera camera e ingresso,CLEAN_AREA
vai in camera,GO_TO_AREA
vai in bagno,GO_TO_AREA
vai in cucina,GO_TO_AREA
vai in salone,GO_TO_AREA
vai in soggiorno,GO_TO_AREA
raggiungi la camera,GO_TO_AREA
raggiungi il bagno,GO_TO_AREA
raggiungi la cucina,GO_TO_AREA
spostati in cucina,GO_TO_AREA
spostati in camera,GO_TO_AREA
portati in salone,GO_TO_AREA
portami in cucina,GO_TO_AREA
vai in cucina evitando il bagno,GO_TO_AREA
vai in bagno evitando la camera,GO_TO_AREA
vai in salone evitando il corridoio,GO_TO_AREA
raggiungi la camera evitando la cucina,GO_TO_AREA
spostati in soggiorno evitando il bagno,GO_TO_AREA
vai in bagno evitando camera e salotto,GO_TO_AREA
vai in cucina evitando il bagno e il salone,GO_TO_AREA
vai in camera evitando cucina e bagno,GO_TO_AREA
raggiungi il bagno evitando camera e salotto,GO_TO_AREA
spostati in cucina evitando bagno e salone,GO_TO_AREA
portati in camera evitando cucina e bagno,GO_TO_AREA
"vai in cucina evitando bagno, salone e corridoio",GO_TO_AREA
"vai in bagno evitando cucina, salone e camera",GO_TO_AREA
"raggiungi il soggiorno evitando cucina, bagno e corridoio",GO_TO_AREA
"spostati in camera evitando bagno, salone e ingresso",GO_TO_AREA
"portati in salone evitando cucina, camera e bagno",GO_TO_AREA
"vai in cucina evitando bagno, salone, camera e corridoio",GO_TO_AREA
"vai in bagno evitando cucina, salone, camera e ingresso",GO_TO_AREA
"raggiungi la camera evitando cucina, bagno, salone e corridoio",GO_TO_AREA
"spostati in soggiorno evitando cucina, bagno, camera e ingresso",GO_TO_AREA
vai in cucina ma evita bagno,GO_TO_AREA
vai in cucina ma evita bagno e salone,GO_TO_AREA
"vai in cucina ma evita bagno, salone e corridoio",GO_TO_AREA
"vai in cucina ma evita bagno, salone, camera e corridoio",GO_TO_AREA
"raggiungi bagno ma evita cucina, salone e camera",GO_TO_AREA
"spostati in camera ma evita bagno, cucina e ingresso",GO_TO_AREA
vai in cucina senza passare dal bagno,GO_TO_AREA
vai in cucina senza passare da bagno e salone,GO_TO_AREA
"vai in cucina senza passare da bagno, salone e corridoio",GO_TO_AREA
"vai in cucina senza passare da bagno, salone, camera e corridoio",GO_TO_AREA
"raggiungi bagno senza passare da cucina, salone e camera",GO_TO_AREA
"vai in cucina, non passare dal bagno",GO_TO_AREA
"vai in cucina, non passare da bagno e salone",GO_TO_AREA
"vai in cucina, non passare da bagno, salone e corridoio",GO_TO_AREA
"vai in cucina, non passare da bagno, salone, camera e corridoio",GO_TO_AREA
"vai in cucina, non passare da bagno né da salone",GO_TO_AREA
"vai in cucina, non passare da bagno né da salone né da camera",GO_TO_AREA
"vai in bagno, non andare in cucina e manco in salone",GO_TO_AREA
"raggiungi camera, non entrare in bagno, manco in cucina e nemmeno in salone",GO_TO_AREA
passa in cucina,CLEAN_AREA
passa in bagno,CLEAN_AREA
passa in soggiorno,CLEAN_AREA
passa in salone,CLEAN_AREA
passa in camera,CLEAN_AREA
passa in cucina a pulire,CLEAN_AREA
passa in bagno a pulire,CLEAN_AREA
passa in soggiorno a pulire,CLEAN_AREA
passa in cucina e pulisci,CLEAN_AREA
passa in bagno e pulisci,CLEAN_AREA
passa in cucina a dare una pulita,CLEAN_AREA
passa in bagno a dare una pulita,CLEAN_AREA
