text,intent
mappa la casa,START_MAPPING
inizia a mappare,START_MAPPING
esplora l'appartamento,START_MAPPING
fai una mappa delle stanze,START_MAPPING
scansiona la casa,START_MAPPING
avvia la mappatura,START_MAPPING
comincia esplorazione,START_MAPPING
crea la mappa dell'ambiente,START_MAPPING
pulisci la cucina,CLEAN_AREA
aspira il bagno,CLEAN_AREA
lava il soggiorno,CLEAN_AREA
pulisci camera e ingresso,CLEAN_AREA
inizia a pulire il ripostiglio,CLEAN_AREA
passa lo sporco in cucina,CLEAN_AREA
fai pulizia nel salone,CLEAN_AREA
pulisci la cucina evitando il bagno,CLEAN_AREA
vai in cucina,GO_TO_AREA
raggiungi il bagno,GO_TO_AREA
portati in soggiorno,GO_TO_AREA
spostati in camera,GO_TO_AREA
vai all'ingresso,GO_TO_AREA
raggiungi il ripostiglio passando dal salone,GO_TO_AREA
vai in cucina evitando il bagno,GO_TO_AREA
muoviti verso il corridoio,GO_TO_AREA
torna alla base,RETURN_HOME
ritorna alla base,RETURN_HOME
vai alla stazione di ricarica,RETURN_HOME
torna a casa,RETURN_HOME
rientra alla base,RETURN_HOME
raggiungi la dock,RETURN_HOME
vai al punto di partenza,RETURN_HOME
rientra alla stazione,RETURN_HOME
metti in pausa,PAUSE_TASK
pausa il lavoro,PAUSE_TASK
fermati un momento,PAUSE_TASK
sospendi la pulizia,PAUSE_TASK
blocca temporaneamente il compito,PAUSE_TASK
interrompi per ora,PAUSE_TASK
aspetta un attimo,PAUSE_TASK
metti la missione in pausa,PAUSE_TASK
riprendi,RESUME_TASK
continua il lavoro,RESUME_TASK
prosegui la pulizia,RESUME_TASK
riparti,RESUME_TASK
riavvia il compito sospeso,RESUME_TASK
continua da dove eri rimasto,RESUME_TASK
puoi andare avanti,RESUME_TASK
riprendi la missione,RESUME_TASK
stop,STOP_TASK
ferma tutto,STOP_TASK
annulla il compito,STOP_TASK
interrompi la pulizia,STOP_TASK
basta così,STOP_TASK
termina la missione,STOP_TASK
cancella l'attività corrente,STOP_TASK
arresta il robot,STOP_TASK
pulisci anche la cucina,MODIFY_TASK
evita anche il bagno,MODIFY_TASK
non evitare più il bagno,MODIFY_TASK
togli la cucina,MODIFY_TASK
aggiungi il soggiorno,MODIFY_TASK
rimuovi il bagno dalle aree da evitare,MODIFY_TASK
togli il ripostiglio dal percorso,MODIFY_TASK
modifica il compito evitando il corridoio,MODIFY_TASK
dove si trova la cucina,QUERY_AREA
che area è questa,QUERY_AREA
quali stanze conosci,QUERY_AREA
dimmi le aree salvate,QUERY_AREA
mostrami le stanze disponibili,QUERY_AREA
la cucina è nella mappa,QUERY_AREA
conosci il bagno,QUERY_AREA
quali aree posso indicare,QUERY_AREA
cosa stai facendo,STATUS_REQUEST
a che punto sei,STATUS_REQUEST
qual è lo stato,STATUS_REQUEST
dimmi lo stato del robot,STATUS_REQUEST
sei fermo o stai lavorando,STATUS_REQUEST
quanto manca,STATUS_REQUEST
stai pulendo,STATUS_REQUEST
la missione è attiva,STATUS_REQUEST
aiuto,HELP_REQUEST
help,HELP_REQUEST
cosa posso dire,HELP_REQUEST
quali comandi capisci,HELP_REQUEST
mostrami i comandi,HELP_REQUEST
come ti posso comandare,HELP_REQUEST
dammi una mano,HELP_REQUEST
spiegami cosa sai fare,HELP_REQUEST
blabla senza senso,UNKNOWN
banana sul tavolo,UNKNOWN
non so cosa voglio,UNKNOWN
questa frase non è un comando,UNKNOWN
parole casuali robot cielo,UNKNOWN
domani forse vediamo,UNKNOWN
il gatto dorme sul divano,UNKNOWN
quanto costa il pane,UNKNOWN
